month,day,year,daily_max_temp_f,daily_max_temp_c
1,1,1990,32,0.0
1,2,1990,39,3.9
1,3,1990,25,-3.9
1,4,1990,21,-6.1
1,5,1990,20,-6.7
1,6,1990,26,-3.3
1,7,1990,29,-1.7
1,8,1990,39,3.9
1,9,1990,40,4.4
1,10,1990,42,5.6
1,11,1990,46,7.8
1,12,1990,46,7.8
1,13,1990,46,7.8
1,14,1990,30,-1.1
1,15,1990,27,-2.8
1,16,1990,28,-2.2
1,17,1990,31,-0.6
1,18,1990,30,-1.1
1,19,1990,27,-2.8
1,20,1990,22,-5.6
1,21,1990,30,-1.1
1,22,1990,27,-2.8
1,23,1990,30,-1.1
1,24,1990,32,0.0
1,25,1990,24,-4.4
1,26,1990,27,-2.8
1,27,1990,36,2.2
1,28,1990,36,2.2
1,29,1990,26,-3.3
1,30,1990,31,-0.6
1,31,1990,37,2.8
2,1,1990,26,-3.3
2,2,1990,33,0.6
2,3,1990,32,0.0
2,4,1990,37,2.8
2,5,1990,38,3.3
2,6,1990,38,3.3
2,7,1990,38,3.3
2,8,1990,38,3.3
2,9,1990,33,0.6
2,10,1990,36,2.2
2,11,1990,43,6.1
2,12,1990,45,7.2
2,13,1990,42,5.6
2,14,1990,42,5.6
2,15,1990,27,-2.8
2,16,1990,18,-7.8
2,17,1990,27,-2.8
2,18,1990,30,-1.1
2,19,1990,30,-1.1
2,20,1990,34,1.1
2,21,1990,24,-4.4
2,22,1990,37,2.8
2,23,1990,39,3.9
2,24,1990,44,6.7
2,25,1990,46,7.8
2,26,1990,46,7.8
2,27,1990,49,9.4
2,28,1990,43,6.1
3,1,1990,40,4.4
3,2,1990,43,6.1
3,3,1990,46,7.8
3,4,1990,44,6.7
3,5,1990,45,7.2
3,6,1990,30,-1.1
3,7,1990,36,2.2
3,8,1990,46,7.8
3,9,1990,53,11.7
3,10,1990,48,8.9
3,11,1990,34,1.1
3,12,1990,34,1.1
3,13,1990,22,-5.6
3,14,1990,31,-0.6
3,15,1990,34,1.1
3,16,1990,40,4.4
3,17,1990,44,6.7
3,18,1990,51,10.6
3,19,1990,51,10.6
3,20,1990,53,11.7
3,21,1990,59,15.0
3,22,1990,60,15.6
3,23,1990,60,15.6
3,24,1990,60,15.6
3,25,1990,60,15.6
3,26,1990,60,15.6
3,27,1990,51,10.6
3,28,1990,51,10.6
3,29,1990,39,3.9
3,30,1990,35,1.7
3,31,1990,46,7.8
4,1,1990,51,10.6
4,2,1990,51,10.6
4,3,1990,50,10.0
4,4,1990,51,10.6
4,5,1990,48,8.9
4,6,1990,54,12.2
4,7,1990,51,10.6
4,8,1990,51,10.6
4,9,1990,49,9.4
4,10,1990,56,13.3
4,11,1990,58,14.4
4,12,1990,60,15.6
4,13,1990,60,15.6
4,14,1990,67,19.4
4,15,1990,68,20.0
4,16,1990,62,16.7
4,17,1990,45,7.2
4,18,1990,37,2.8
4,19,1990,49,9.4
4,20,1990,57,13.9
4,21,1990,60,15.6
4,22,1990,60,15.6
4,23,1990,48,8.9
4,24,1990,48,8.9
4,25,1990,49,9.4
4,26,1990,55,12.8
4,27,1990,55,12.8
4,28,1990,49,9.4
4,29,1990,47,8.3
4,30,1990,37,2.8
5,1,1990,42,5.6
5,2,1990,45,7.2
5,3,1990,50,10.0
5,4,1990,53,11.7
5,5,1990,56,13.3
5,6,1990,61,16.1
5,7,1990,64,17.8
5,8,1990,64,17.8
5,9,1990,57,13.9
5,10,1990,63,17.2
5,11,1990,63,17.2
5,12,1990,58,14.4
5,13,1990,62,16.7
5,14,1990,64,17.8
5,15,1990,60,15.6
5,16,1990,57,13.9
5,17,1990,65,18.3
5,18,1990,61,16.1
5,19,1990,57,13.9
5,20,1990,63,17.2
5,21,1990,68,20.0
5,22,1990,72,22.2
5,23,1990,72,22.2
5,24,1990,67,19.4
5,25,1990,64,17.8
5,26,1990,64,17.8
5,27,1990,67,19.4
5,28,1990,67,19.4
5,29,1990,50,10.0
5,30,1990,60,15.6
