agency_cd,site_no,month,day,year,max_water_temp_c,min_water_temp_c,mean_water_temp_c
USGS,9352900,4,1,2012,6.2,1.8,3.4
USGS,9352900,4,2,2012,3,1.3,2.2
USGS,9352900,4,3,2012,4.7,1.8,3
USGS,9352900,4,4,2012,6.6,1.2,3.5
USGS,9352900,4,5,2012,5.8,1.7,3.6
USGS,9352900,4,6,2012,6.3,2.1,3.9
USGS,9352900,4,7,2012,5.8,0.6,3
USGS,9352900,4,8,2012,6.8,1.1,3.4
USGS,9352900,4,9,2012,7.3,2.3,4.3
USGS,9352900,4,10,2012,6.9,2.1,4.2
USGS,9352900,4,11,2012,5.4,2.7,4
USGS,9352900,4,12,2012,3.9,1.9,2.8
USGS,9352900,4,13,2012,3,0.8,2
USGS,9352900,4,14,2012,2.3,0.7,1.6
USGS,9352900,4,15,2012,4.6,0.4,2.1
USGS,9352900,4,16,2012,5.1,0.6,2.7
USGS,9352900,4,17,2012,6.2,0.9,3.4
USGS,9352900,4,18,2012,7.2,1.7,4.4
USGS,9352900,4,19,2012,7.6,3.5,5.2
USGS,9352900,4,20,2012,8.3,2.5,5.2
USGS,9352900,4,21,2012,8.6,2.7,5.3
USGS,9352900,4,22,2012,8.1,2.8,5.1
USGS,9352900,4,23,2012,8.3,2.8,5
USGS,9352900,4,24,2012,7.7,2.9,4.8
USGS,9352900,4,25,2012,5.9,3,4.4
USGS,9352900,4,26,2012,5.9,3.6,4.7
USGS,9352900,4,27,2012,7.4,2.8,4.6
USGS,9352900,4,28,2012,5.8,2.6,4.1
USGS,9352900,4,29,2012,6.3,2.6,4.3
USGS,9352900,4,30,2012,7.9,2,4.7
USGS,9352900,5,1,2012,6.7,2.6,4.6
USGS,9352900,5,2,2012,8,2.8,5.2
USGS,9352900,5,3,2012,8.7,2.9,5.5
USGS,9352900,5,4,2012,8.8,3,5.4
USGS,9352900,5,5,2012,8.1,2.8,5.1
USGS,9352900,5,6,2012,7.1,3,4.9
USGS,9352900,5,7,2012,5.1,3.2,3.9
USGS,9352900,5,8,2012,7.4,2.1,4.5
USGS,9352900,5,9,2012,8,2.9,5.3
USGS,9352900,5,10,2012,8.1,3.2,5.7
USGS,9352900,5,11,2012,6.9,3.6,5.2
USGS,9352900,5,12,2012,6.7,4.2,5.5
USGS,9352900,5,13,2012,5.2,3.2,4.3
USGS,9352900,5,14,2012,9.2,2.7,5.6
USGS,9352900,5,15,2012,9.3,3.6,6.1
USGS,9352900,5,16,2012,9.1,3.6,6.1
USGS,9352900,5,17,2012,8.5,3.7,5.9
USGS,9352900,5,18,2012,7.1,3.7,5.4
USGS,9352900,5,19,2012,7.9,3.3,5.6
USGS,9352900,5,20,2012,8.9,3,5.9
USGS,9352900,5,21,2012,9.2,3.6,6.4
USGS,9352900,5,22,2012,10,3.9,6.7
USGS,9352900,5,23,2012,9.3,4.1,6.4
USGS,9352900,5,24,2012,8.8,4.3,6.3
USGS,9352900,5,25,2012,9.8,4.2,6.8
USGS,9352900,5,26,2012,7.8,4.5,6.2
USGS,9352900,5,27,2012,6.5,2.2,4.5
USGS,9352900,5,28,2012,9,2,5.2
USGS,9352900,5,29,2012,9.8,3.2,6.3
USGS,9352900,5,30,2012,10.4,3.6,6.8
USGS,9352900,5,31,2012,11,4.6,7.6
USGS,9352900,6,1,2012,11,5.2,8.1
USGS,9352900,6,2,2012,8.8,5.5,7.3
USGS,9352900,6,3,2012,9.9,5.2,7.6
USGS,9352900,6,4,2012,9.9,5.9,8
USGS,9352900,6,5,2012,11.8,5.8,8.6
USGS,9352900,6,6,2012,11.7,5.1,8.2
USGS,9352900,6,7,2012,11.6,5,8.2
USGS,9352900,6,8,2012,12.1,5.4,8.6
USGS,9352900,6,9,2012,12,5.5,8.7
USGS,9352900,6,10,2012,12.1,6.1,8.9
USGS,9352900,6,11,2012,11.5,5,8.2
USGS,9352900,6,12,2012,10.6,5.5,8
USGS,9352900,6,13,2012,12.5,5.8,9
USGS,9352900,6,14,2012,12.8,6.1,9.4
USGS,9352900,6,15,2012,12.7,6.4,9.5
USGS,9352900,6,16,2012,11.8,6.8,9.3
USGS,9352900,6,17,2012,13.4,6.4,9.7
USGS,9352900,6,18,2012,13.7,7.4,10.5
USGS,9352900,6,19,2012,13.8,7.2,10.5
USGS,9352900,6,20,2012,14.4,7.5,10.9
USGS,9352900,6,21,2012,14.3,7.8,11.1
USGS,9352900,6,22,2012,14.9,8.8,11.8
USGS,9352900,6,23,2012,14.8,8.8,11.8
USGS,9352900,6,24,2012,15.5,9.3,12.4
USGS,9352900,6,25,2012,15.1,10.1,12.8
USGS,9352900,6,26,2012,14.1,9.8,12.1
USGS,9352900,6,27,2012,14.7,10.7,12.6
USGS,9352900,6,28,2012,13.8,10.5,12.2
USGS,9352900,6,29,2012,13.5,9.7,11.6
USGS,9352900,6,30,2012,13.6,9.6,11.7
USGS,9352900,7,1,2012,13.1,9.5,11.5
USGS,9352900,7,2,2012,14.8,10,12.4
USGS,9352900,7,3,2012,14.9,10,12.4
USGS,9352900,7,4,2012,14.6,11.1,12.9
USGS,9352900,7,5,2012,15.9,11.1,13.4
USGS,9352900,7,6,2012,14.4,10.7,12.6
USGS,9352900,7,7,2012,13,10.9,11.9
USGS,9352900,7,8,2012,14.9,10.1,12.1
USGS,9352900,7,9,2012,12.7,9.9,11.5
USGS,9352900,7,10,2012,13.7,9.6,11.7
USGS,9352900,7,11,2012,12.9,9.9,11.6
USGS,9352900,7,12,2012,12.5,9.2,11.1
USGS,9352900,7,13,2012,14.2,10.1,12
USGS,9352900,7,14,2012,15.6,10.8,13
USGS,9352900,7,15,2012,13.5,10.5,12
USGS,9352900,7,16,2012,13.5,10.6,12
USGS,9352900,7,17,2012,15.1,9.1,11.8
USGS,9352900,7,18,2012,13.9,9.6,11.8
USGS,9352900,7,19,2012,14.9,10.5,12.6
USGS,9352900,7,20,2012,16.2,10.8,13.5
USGS,9352900,7,21,2012,14.8,11.5,12.9
USGS,9352900,7,22,2012,15.6,10.8,13
USGS,9352900,7,23,2012,15.2,10.9,13.1
USGS,9352900,7,24,2012,13.5,10.6,11.6
USGS,9352900,7,25,2012,15.4,10,12.5
USGS,9352900,7,26,2012,15.1,10.8,13
USGS,9352900,7,27,2012,13.9,11.3,12.6
USGS,9352900,7,28,2012,16.3,11.2,13.6
USGS,9352900,7,29,2012,16.4,12.2,14.3
USGS,9352900,7,30,2012,16.2,11.9,13.9
USGS,9352900,7,31,2012,16.3,11.1,13.7
USGS,9352900,8,1,2012,15.1,11.6,13.3
USGS,9352900,8,2,2012,13.7,10.7,12.3
USGS,9352900,8,3,2012,13,10.4,11.6
USGS,9352900,8,4,2012,13.3,10,11.7
USGS,9352900,8,5,2012,14.8,10,12.5
USGS,9352900,8,6,2012,14.3,10.5,12.6
USGS,9352900,8,7,2012,13.8,10.6,12.3
USGS,9352900,8,8,2012,14.7,10.3,12.3
USGS,9352900,8,9,2012,14.4,11.6,13.2
USGS,9352900,8,10,2012,13.9,10.7,12.4
USGS,9352900,8,11,2012,14.7,10.5,12.6
USGS,9352900,8,12,2012,14,10.9,12.1
USGS,9352900,8,13,2012,13.3,10.5,11.9
USGS,9352900,8,14,2012,12.9,11.3,12.1
